id,survey_id,date_start,location_id,entered_sref,entered_sref_system,created_on,created_by_id,LATITUDE,LONGITUDE,monad,monadCRS,country
2955821,154,06/09/2017,179036,J4839897134,OSIE,52:23.0,133430,54.80004049,-5.692086866,J4897,OSIE,Northern_Ireland
3028180,154,08/06/2017,186289,D3017224198,OSIE,15:00.0,144474,55.04808155,-5.963085245,D3024,OSIE,Northern_Ireland
3028206,154,07/09/2017,186289,D3017224198,OSIE,39:58.0,144474,55.04808155,-5.963085245,D3024,OSIE,Northern_Ireland
3028307,154,08/06/2017,186291,D3020224215,OSIE,26:00.0,144474,55.04822633,-5.962608391,D3024,OSIE,Northern_Ireland
3028275,154,07/09/2017,186290,D3007824484,OSIE,13:27.0,144474,55.05067382,-5.964424821,D3024,OSIE,Northern_Ireland
3028361,154,14/09/2017,186302,H6016649632,OSIE,43:43.0,95882,54.39166555,-7.073669103,H6049,OSIE,Northern_Ireland
3028545,154,01/06/2017,179938,H6029749799,OSIE,22:58.0,95882,54.39315028,-7.071618635,H6049,OSIE,Northern_Ireland
3029308,154,23/08/2017,186314,H5217735846,OSIE,05:36.0,95882,54.26869638,-7.199064674,H5235,OSIE,Northern_Ireland
3029544,154,23/08/2017,186313,H5220135618,OSIE,30:47.0,95882,54.26664562,-7.198736038,H5235,OSIE,Northern_Ireland
3029732,154,24/08/2017,186316,D0588831774,OSIE,07:08.0,95882,55.12187546,-6.340062999,D0531,OSIE,Northern_Ireland
3049158,154,27/08/2017,185468,C9663746023,OSIE,24:02.0,142131,55.25172315,-6.480160762,C9646,OSIE,Northern_Ireland
3028574,154,14/09/2017,179938,H6029749799,OSIE,27:31.0,95882,54.39315028,-7.071618635,H6049,OSIE,Northern_Ireland
3105677,154,01/06/2017,161419,C6622839005,OSIE,46:53.0,87223,55.19370591,-6.959946984,C6639,OSIE,Northern_Ireland
3105683,154,01/06/2017,161422,C6618239011,OSIE,52:50.0,87223,55.19376595,-6.960667832,C6639,OSIE,Northern_Ireland
3105687,154,01/06/2017,161420,C6621739013,OSIE,55:48.0,87223,55.19377923,-6.960117824,C6639,OSIE,Northern_Ireland
3117840,154,02/06/2017,164522,J4410735363,OSIE,18:57.0,128199,54.246738,-5.788944347,J4435,OSIE,Northern_Ireland
3117915,154,29/09/2017,164522,J4410735363,OSIE,36:46.0,128199,54.246738,-5.788944347,J4435,OSIE,Northern_Ireland
3118016,154,02/06/2017,164523,J4424935317,OSIE,59:35.0,128199,54.24628505,-5.786789541,J4435,OSIE,Northern_Ireland
3118025,154,29/09/2017,164523,J4424935317,OSIE,06:25.0,128199,54.24628505,-5.786789541,J4435,OSIE,Northern_Ireland
3118047,154,02/06/2017,164524,J4439035595,OSIE,18:24.0,128199,54.24874122,-5.78449417,J4435,OSIE,Northern_Ireland
3118062,154,29/09/2017,164524,J4439035595,OSIE,25:44.0,128199,54.24874122,-5.78449417,J4435,OSIE,Northern_Ireland
